condition,match_rate,match_lo,match_hi,n,n_clusters,success_rate,success_lo,success_hi
full_history,0.4479166666666667,0.3229166666666667,0.59375,96,12,0.5520833333333334,0.4479166666666667,0.6770833333333334
no_history,0.3333333333333333,0.08333333333333333,0.5833333333333334,96,12,0.5625,0.4166666666666667,0.6979166666666666
random_target,0.3854166666666667,0.2916666666666667,0.4791666666666667,96,12,0.4895833333333333,0.3854166666666667,0.5833333333333334
shuffled_history,0.28125,0.19791666666666666,0.3645833333333333,96,12,0.4583333333333333,0.3541666666666667,0.5625
swap,0.45,0.35,0.55,120,12,0.6,0.5166666666666667,0.675
