condition,switch_after_A,switch_after_B,n_after_A,n_after_B,lose_shift_minus_win_shift
full_history,0.0,1.0,48,36,1.0
no_history,0.0,0.0,49,35,0.0
random_target,0.0,1.0,41,43,1.0
shuffled_history,0.5833333333333334,0.375,36,48,-0.20833333333333337
swap,0.0,1.0,65,43,1.0
