episode_id,episode_index,old_type,new_type,pre_new_match,pre_old_match,late_new_match,late_old_match,new_target_gain,old_target_drop,late_new_over_old,rounds_to_adapt
swap-009-risk-to-expertise,9,risk,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-009-expertise-to-fairness,9,expertise,fairness,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-009-expertise-to-risk,9,expertise,risk,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-010-fairness-to-risk,10,fairness,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
swap-010-fairness-to-expertise,10,fairness,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-010-risk-to-fairness,10,risk,fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
swap-010-risk-to-expertise,10,risk,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-010-expertise-to-fairness,10,expertise,fairness,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-010-expertise-to-risk,10,expertise,risk,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-011-fairness-to-risk,11,fairness,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
swap-011-fairness-to-expertise,11,fairness,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-011-risk-to-fairness,11,risk,fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
swap-011-risk-to-expertise,11,risk,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-011-expertise-to-fairness,11,expertise,fairness,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-011-expertise-to-risk,11,expertise,risk,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-012-fairness-to-risk,12,fairness,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
swap-012-fairness-to-expertise,12,fairness,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-012-risk-to-fairness,12,risk,fairness,0.0,0.8,0.6,0.4,0.6,0.4,0.19999999999999996,10
swap-012-risk-to-expertise,12,risk,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-012-expertise-to-fairness,12,expertise,fairness,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-012-expertise-to-risk,12,expertise,risk,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-013-fairness-to-risk,13,fairness,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
swap-013-fairness-to-expertise,13,fairness,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-013-risk-to-fairness,13,risk,fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
swap-013-risk-to-expertise,13,risk,expertise,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4
swap-013-expertise-to-fairness,13,expertise,fairness,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
swap-013-expertise-to-risk,13,expertise,risk,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,
