condition,n_episodes,early_match,late_heldout_match,learning_gain,success,valid_selection
full_history,60,0.3466666666666667,0.38666666666666666,0.04,0.5016666666666667,1.0
no_history,60,0.33333333333333337,0.3333333333333333,-3.7007434154171884e-18,0.49166666666666675,1.0
shuffled_history,60,0.33,0.31333333333333335,-0.016666666666666666,0.47833333333333333,1.0
random_target,60,0.3433333333333334,0.3533333333333334,0.01,0.4841666666666667,1.0
