scenario,role,effect_fraction,n_pairs,active_calls,calls_with_shams,coupling,unusable_fraction,expected_focus_difference,expected_nondefault_difference,pooled_hits,pooled_n_simulations,pooled_rate,pooled_ci_lo,pooled_ci_hi,nondefault_hits,nondefault_n_simulations,nondefault_rate,nondefault_ci_lo,nondefault_ci_hi,joint_hits,joint_n_simulations,joint_rate,joint_ci_lo,joint_ci_hi,focus_fairness_hits,focus_fairness_n_simulations,focus_fairness_rate,focus_fairness_ci_lo,focus_fairness_ci_hi,focus_risk_hits,focus_risk_n_simulations,focus_risk_rate,focus_risk_ci_lo,focus_risk_ci_hi,focus_expertise_hits,focus_expertise_n_simulations,focus_expertise_rate,focus_expertise_ci_lo,focus_expertise_ci_hi
uniform,invariant_null,0.0,18,36,48,independent,0.0,0.0,0.0,51,5000,0.0102,0.007766697200760391,0.01338537124201366,28,5000,0.0056,0.003877356719365016,0.008081774840674774,13,5000,0.0026,0.0015201123516485658,0.004443625589216709,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694
uniform,invariant_null,0.0,18,36,48,independent,0.1,0.0,0.0,37,5000,0.0074,0.005373566400957179,0.010182801330587321,17,5000,0.0034,0.0021239187553747756,0.00543859081727037,6,5000,0.0012,0.0005500756587335479,0.002615811926516952,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694
uniform,invariant_null,0.0,18,36,48,negative_bound,0.0,0.0,0.0,67,5000,0.0134,0.010565885112331141,0.016981269857562393,56,5000,0.0112,0.008635351796585613,0.014515181185913273,19,5000,0.0038,0.002434119240930543,0.005927776147604539,6,5000,0.0012,0.0005500756587335479,0.002615811926516952,11,5000,0.0022,0.001228902612090369,0.00393544951288497,5,5000,0.001,0.00042720718893578876,0.0023389874883697442
uniform,invariant_null,0.0,18,36,48,negative_bound,0.1,0.0,0.0,65,5000,0.013,0.0102131038076004,0.016534665346403195,51,5000,0.0102,0.007766697200760391,0.01338537124201366,19,5000,0.0038,0.002434119240930543,0.005927776147604539,3,5000,0.0006,0.00020407096088550332,0.001762737900530094,4,5000,0.0008,0.0003111419445903861,0.0020553598247701793,5,5000,0.001,0.00042720718893578876,0.0023389874883697442
uniform,invariant_null,0.0,36,72,96,independent,0.0,0.0,0.0,68,5000,0.0136,0.010742545429440987,0.01720430244839751,60,5000,0.012,0.009334492301086808,0.015414812313191951,31,5000,0.0062,0.004371360588064539,0.008786849695810154,26,5000,0.0052,0.003551144035724963,0.007608601708424892,17,5000,0.0034,0.0021239187553747756,0.00543859081727037,26,5000,0.0052,0.003551144035724963,0.007608601708424892
uniform,invariant_null,0.0,36,72,96,independent,0.1,0.0,0.0,70,5000,0.014,0.011096386311623671,0.017649847382104764,52,5000,0.0104,0.007939925453345731,0.013611835897373284,24,5000,0.0048,0.00322775763196324,0.007132602296296678,17,5000,0.0034,0.0021239187553747756,0.00543859081727037,15,5000,0.003,0.0018189133867023654,0.004944210370052845,20,5000,0.004,0.0025909223507485585,0.006170665945731489
uniform,invariant_null,0.0,36,72,96,negative_bound,0.0,0.0,0.0,62,5000,0.0124,0.009685341838572314,0.015863348591596382,63,5000,0.0126,0.009861068751138881,0.01608731458697478,22,5000,0.0044,0.00290754291665071,0.006653431195719275,55,5000,0.011,0.008461131724304237,0.014289708350249683,44,5000,0.0088,0.006562002273368255,0.011792215813791019,51,5000,0.0102,0.007766697200760391,0.01338537124201366
uniform,invariant_null,0.0,36,72,96,negative_bound,0.1,0.0,0.0,63,5000,0.0126,0.009861068751138881,0.01608731458697478,56,5000,0.0112,0.008635351796585613,0.014515181185913273,17,5000,0.0034,0.0021239187553747756,0.00543859081727037,51,5000,0.0102,0.007766697200760391,0.01338537124201366,36,5000,0.0072,0.005205365212759887,0.009951309610839645,58,5000,0.0116,0.008984481447483776,0.014965437350905044
uniform,invariant_null,0.0,72,144,192,independent,0.0,0.0,0.0,75,5000,0.015,0.011983860272495058,0.018760837960958218,69,5000,0.0138,0.010919380389000657,0.01742716039678281,25,5000,0.005,0.0033890775204861016,0.007370975315718786,47,5000,0.0094,0.007076520504884714,0.012476776306109466,51,5000,0.0102,0.007766697200760391,0.01338537124201366,60,5000,0.012,0.009334492301086808,0.015414812313191951
uniform,invariant_null,0.0,72,144,192,independent,0.1,0.0,0.0,68,5000,0.0136,0.010742545429440987,0.01720430244839751,64,5000,0.0128,0.010036990885136498,0.016311085360922132,33,5000,0.0066,0.004703481688179132,0.009254114411585497,59,5000,0.0118,0.009159379464301861,0.015190232242031929,51,5000,0.0102,0.007766697200760391,0.01338537124201366,62,5000,0.0124,0.009685341838572314,0.015863348591596382
