episode_index,family,log_loss
0,uniform,1.09861228866811
1,uniform,1.09861228866811
2,uniform,1.09861228866811
3,uniform,1.09861228866811
4,uniform,1.09861228866811
5,uniform,1.09861228866811
6,uniform,1.09861228866811
7,uniform,1.09861228866811
8,uniform,1.09861228866811
9,uniform,1.09861228866811
10,uniform,1.09861228866811
11,uniform,1.09861228866811
12,uniform,1.09861228866811
13,uniform,1.09861228866811
14,uniform,1.09861228866811
15,uniform,1.09861228866811
16,uniform,1.09861228866811
17,uniform,1.09861228866811
18,uniform,1.09861228866811
19,uniform,1.09861228866811
0,expertise,0.013423020332140656
1,expertise,1.0654677095456382
2,expertise,1.2408084910812214
3,expertise,0.013423020332140656
4,expertise,0.32026938801941085
5,expertise,0.14492860648382794
6,expertise,0.9777973187778466
7,expertise,0.16684620417577567
8,expertise,0.013423020332140656
9,expertise,0.07917581340798428
10,expertise,0.4079397787872023
11,expertise,0.013423020332140656
12,expertise,0.9339621233939506
13,expertise,0.013423020332140656
14,expertise,0.013423020332140656
15,expertise,0.21068139955967152
16,expertise,0.6928685487825245
17,expertise,0.7367037441664197
18,expertise,1.920254019531606
19,expertise,0.627115755706681
0,marginal,0.10527127376762385
1,marginal,0.6274165420659863
2,marginal,0.804765849991487
3,marginal,0.11455645586845975
4,marginal,0.26721690922659014
5,marginal,0.17165530007430313
6,marginal,0.5920874666832716
7,marginal,0.19163288895051991
8,marginal,0.10407944132626731
9,marginal,0.15179243292778033
10,marginal,0.30324656847852705
11,marginal,0.121501605817631
12,marginal,0.565232568081254
13,marginal,0.11455645586845975
14,marginal,0.11215201385500342
15,marginal,0.20690885555934574
16,marginal,0.5751622103206309
17,marginal,0.6286808894849568
18,marginal,1.1012777135615601
19,marginal,0.4734568282178835
0,repeat_last,0.03560636923655408
1,repeat_last,0.13260594674625012
2,repeat_last,0.8468163169897029
3,repeat_last,0.037763761149810365
4,repeat_last,0.10554543067244491
5,repeat_last,0.17160932408684954
6,repeat_last,0.4476022449364521
7,repeat_last,0.19736471091321495
8,repeat_last,0.035328334805778516
9,repeat_last,0.10532914756422394
10,repeat_last,0.4351377864424426
11,repeat_last,0.039367419788580174
12,repeat_last,0.1442363310509327
13,repeat_last,0.037763761149810365
14,repeat_last,0.03720656911783371
15,repeat_last,0.14802021716443897
16,repeat_last,0.22431230411048134
17,repeat_last,0.2030819588714729
18,repeat_last,0.2833266688918504
19,repeat_last,0.16143545379170443
0,win_stay_expertise,0.03560636923655408
1,win_stay_expertise,0.5098664169060612
2,win_stay_expertise,0.791334200916883
3,win_stay_expertise,0.06271178610722838
4,win_stay_expertise,0.20837168124342184
5,win_stay_expertise,0.15274113594357855
6,win_stay_expertise,0.4758136257082204
7,win_stay_expertise,0.1531814242268548
8,win_stay_expertise,0.035328334805778516
9,win_stay_expertise,0.0926440952614258
10,win_stay_expertise,0.37805505107985093
11,win_stay_expertise,0.039367419788580174
12,win_stay_expertise,0.26873724461856674
13,win_stay_expertise,0.06271178610722838
14,win_stay_expertise,0.03720656911783371
15,win_stay_expertise,0.16033849836424294
16,win_stay_expertise,0.45543399579029364
17,win_stay_expertise,0.404217843123193
18,win_stay_expertise,0.7539648541771283
19,win_stay_expertise,0.33553234510763197
0,history_frequency,0.0163479073985101
1,history_frequency,0.14398381681009823
2,history_frequency,0.8876585820695899
3,history_frequency,0.03528336134324236
4,history_frequency,0.12580862111321445
5,history_frequency,0.15932334815636368
6,history_frequency,0.5034133631178446
7,history_frequency,0.1594315961812504
8,history_frequency,0.034922482333352656
9,history_frequency,0.08314791783658088
10,history_frequency,0.3754041244936873
11,history_frequency,0.022363652820948085
12,history_frequency,0.2613607671389991
13,history_frequency,0.03528336134324236
14,history_frequency,0.022363652820948085
15,history_frequency,0.14007836556786263
16,history_frequency,0.4041791814070619
17,history_frequency,0.2551752725779928
18,history_frequency,0.3494925450729476
19,history_frequency,0.17848112872840377
0,reward_learning,0.03502494610353098
1,reward_learning,0.12438427417715998
2,reward_learning,0.775449834041486
3,reward_learning,0.020948600721785202
4,reward_learning,0.08298133053177141
5,reward_learning,0.18224394991592013
6,reward_learning,0.3995564914434984
7,reward_learning,0.18310200375187416
8,reward_learning,0.021944028469075717
9,reward_learning,0.11363928249774617
10,reward_learning,0.5054111052400176
11,reward_learning,0.029994130434307147
12,reward_learning,0.08806859400587057
13,reward_learning,0.02102927617739509
14,reward_learning,0.022062558439214945
15,reward_learning,0.14646044237471453
16,reward_learning,0.27779461825265056
17,reward_learning,0.18228496571799013
18,reward_learning,0.2343256469510133
19,reward_learning,0.1371890571237444
0,belief_static,0.023962780144616544
1,belief_static,0.14242947694426938
2,belief_static,0.8020905375238583
3,belief_static,0.02316557106546785
4,belief_static,0.09243999954297766
5,belief_static,0.1719763901949638
6,belief_static,0.39533610249810724
7,belief_static,0.18364264684373344
8,belief_static,0.022054145213787707
9,belief_static,0.09983599558368453
10,belief_static,0.46997879330620373
11,belief_static,0.022395131605601568
12,belief_static,0.09527910137638824
13,belief_static,0.02349003436180936
14,belief_static,0.02415684133960195
15,belief_static,0.14808481998955586
16,belief_static,0.22939833517967312
17,belief_static,0.16809311351405776
18,belief_static,0.2209900220854809
19,belief_static,0.1407504968117788
0,belief_dynamic,0.03601485293045363
1,belief_dynamic,0.1553229064871023
2,belief_dynamic,0.8272130228978992
3,belief_dynamic,0.02099706927832004
4,belief_dynamic,0.09824161511045572
5,belief_dynamic,0.18679628066975984
6,belief_dynamic,0.47096539770459445
7,belief_dynamic,0.1816312167203309
8,belief_dynamic,0.020549858604016643
9,belief_dynamic,0.09664198163994166
10,belief_dynamic,0.4660174298685077
11,belief_dynamic,0.020978368794363315
12,belief_dynamic,0.10650038296847991
13,belief_dynamic,0.021733624075051066
14,belief_dynamic,0.022443696786523082
15,belief_dynamic,0.14790051953194655
16,belief_dynamic,0.25889142590791614
17,belief_dynamic,0.21887143443953222
18,belief_dynamic,0.2698878949629
19,belief_dynamic,0.16572070730421706
0,simple_selected,0.0163479073985101
1,simple_selected,0.12438427417715998
2,simple_selected,0.8876585820695899
3,simple_selected,0.03528336134324236
4,simple_selected,0.08298133053177141
5,simple_selected,0.15932334815636368
6,simple_selected,0.5034133631178446
7,simple_selected,0.18310200375187416
8,simple_selected,0.021944028469075717
9,simple_selected,0.11363928249774617
10,simple_selected,0.5054111052400176
11,simple_selected,0.029994130434307147
12,simple_selected,0.2613607671389991
13,simple_selected,0.03528336134324236
14,simple_selected,0.022062558439214945
15,simple_selected,0.14646044237471453
16,simple_selected,0.27779461825265056
17,simple_selected,0.2551752725779928
18,simple_selected,0.2343256469510133
19,simple_selected,0.1371890571237444
0,belief_selected,0.023962780144616544
1,belief_selected,0.14242947694426938
2,belief_selected,0.8020905375238583
3,belief_selected,0.02316557106546785
4,belief_selected,0.09243999954297766
5,belief_selected,0.1719763901949638
6,belief_selected,0.39533610249810724
7,belief_selected,0.18364264684373344
8,belief_selected,0.022054145213787707
9,belief_selected,0.09983599558368453
10,belief_selected,0.46997879330620373
11,belief_selected,0.022395131605601568
12,belief_selected,0.09527910137638824
13,belief_selected,0.02349003436180936
14,belief_selected,0.02415684133960195
15,belief_selected,0.14808481998955586
16,belief_selected,0.22939833517967312
17,belief_selected,0.16809311351405776
18,belief_selected,0.2209900220854809
19,belief_selected,0.1407504968117788
