condition,n_rows,n_invalid,n_groups,n_episodes,choice_share_fairness,choice_share_risk,choice_share_expertise
full_history,1200,0,20,60,0.021666666666666667,0.08333333333333333,0.895
no_history,1200,0,20,60,0.075,0.1375,0.7875
random_target,1200,0,20,60,0.028333333333333332,0.06166666666666667,0.91
shuffled_history,1200,0,20,60,0.021666666666666667,0.08333333333333333,0.895
swap,2400,0,20,120,0.023333333333333334,0.059166666666666666,0.9175
