condition,switch_after_A,switch_after_B,n_after_A,n_after_B,lose_shift_minus_win_shift
full_history,0.4827586206896552,0.5636363636363636,29,55,0.08087774294670841
no_history,0.4827586206896552,0.5636363636363636,29,55,0.08087774294670841
