condition,match_rate,match_lo,match_hi,n,n_clusters,success_rate,success_lo,success_hi
full_history,0.23958333333333334,0.10416666666666667,0.375,96,12,0.3333333333333333,0.22916666666666666,0.4583333333333333
no_history,0.07291666666666667,0.020833333333333332,0.13541666666666666,96,12,0.34375,0.22916666666666666,0.44817708333332956
