condition,round,mean,ci_lo,ci_hi,n,n_clusters
full_history,1,0.0,0.0,0.0,11,11
full_history,2,0.18181818181818182,0.0,0.45454545454545453,11,11
full_history,3,0.2727272727272727,0.0,0.5454545454545454,11,11
full_history,4,0.18181818181818182,0.0,0.45454545454545453,11,11
full_history,5,0.18181818181818182,0.0,0.45454545454545453,11,11
full_history,6,0.18181818181818182,0.0,0.45454545454545453,11,11
full_history,7,0.2727272727272727,0.0,0.5454545454545454,11,11
full_history,8,0.36363636363636365,0.09090909090909091,0.6363636363636364,11,11
no_history,1,0.0,0.0,0.0,12,12
no_history,2,0.16666666666666666,0.0,0.4166666666666667,12,12
no_history,3,0.16666666666666666,0.0,0.4166666666666667,12,12
no_history,4,0.0,0.0,0.0,12,12
no_history,5,0.16666666666666666,0.0,0.4166666666666667,12,12
no_history,6,0.0,0.0,0.0,12,12
no_history,7,0.0,0.0,0.0,12,12
no_history,8,0.08333333333333333,0.0,0.25,12,12
