condition,switch_rate,n,repeat_rate
full_history,0.6666666666666666,42,0.33333333333333337
no_history,0.5952380952380952,42,0.40476190476190477
random_target,0.6428571428571429,42,0.3571428571428571
shuffled_history,0.5952380952380952,42,0.40476190476190477
swap,0.6481481481481481,108,0.35185185185185186
