condition,switch_after_A,switch_after_B,n_after_A,n_after_B,lose_shift_minus_win_shift
full_history,0.7272727272727273,0.6,22,20,-0.12727272727272732
no_history,0.6190476190476191,0.5714285714285714,21,21,-0.04761904761904767
random_target,0.6818181818181818,0.6,22,20,-0.08181818181818179
shuffled_history,0.5789473684210527,0.6086956521739131,19,23,0.029748283752860427
swap,0.6346153846153846,0.6607142857142857,52,56,0.026098901098901117
