condition,switch_rate,n,repeat_rate
full_history,0.42857142857142855,84,0.5714285714285714
no_history,0.0,84,1.0
random_target,0.5119047619047619,84,0.48809523809523814
shuffled_history,0.4642857142857143,84,0.5357142857142857
swap,0.4166666666666667,216,0.5833333333333333
