condition,switch_after_A,switch_after_B,n_after_A,n_after_B,lose_shift_minus_win_shift
full_history,0.3793103448275862,0.36363636363636365,29,55,-0.01567398119122254
no_history,0.3793103448275862,0.2545454545454545,29,55,-0.12476489028213167
