episode_index,family,log_loss
0,uniform,1.09861228866811
1,uniform,1.09861228866811
2,uniform,1.09861228866811
3,uniform,1.09861228866811
4,uniform,1.09861228866811
5,uniform,1.09861228866811
6,uniform,1.09861228866811
7,uniform,1.09861228866811
8,uniform,1.09861228866811
9,uniform,1.09861228866811
10,uniform,1.09861228866811
11,uniform,1.09861228866811
12,uniform,1.09861228866811
13,uniform,1.09861228866811
14,uniform,1.09861228866811
15,uniform,1.09861228866811
16,uniform,1.09861228866811
17,uniform,1.09861228866811
18,uniform,1.09861228866811
19,uniform,1.09861228866811
0,expertise,2.643534743365885
1,expertise,2.687369938749781
2,expertise,2.5558643525980935
3,expertise,1.9640892149155016
4,expertise,2.4243587664464066
5,expertise,1.2188908933892735
6,expertise,2.7969579272095197
7,expertise,2.007924410299397
8,expertise,2.3147707779866673
9,expertise,2.599699547981989
10,expertise,2.533946754906146
11,expertise,2.1832651918349804
12,expertise,2.709287536441729
13,expertise,2.4462763641383543
14,expertise,2.3805235710625112
15,expertise,3.388733064892112
16,expertise,1.2188908933892735
17,expertise,1.9860068126074495
18,expertise,2.3147707779866673
19,expertise,1.832583628763814
0,marginal,1.0014750160368546
1,marginal,1.1259662736848173
2,marginal,0.9890313954986717
3,marginal,0.8683540606835702
4,marginal,1.0905819431325208
5,marginal,0.7688666801613228
6,marginal,1.0556121123106719
7,marginal,0.9398834985561819
8,marginal,1.0021103414391177
9,marginal,1.1528512456099118
10,marginal,0.9809079617712609
11,marginal,0.8588215393452425
12,marginal,0.9862195951193664
13,marginal,0.9178487456700619
14,marginal,0.9902293838854115
15,marginal,1.0816248325085596
16,marginal,0.8035302992842739
17,marginal,0.898186318123768
18,marginal,0.8730107995496246
19,marginal,0.9384210686877466
0,repeat_last,0.9821196581645826
1,repeat_last,0.9607860294397486
2,repeat_last,0.9640045337615173
3,repeat_last,0.8636322486828844
4,repeat_last,0.8914911386431557
5,repeat_last,0.6438177139577452
6,repeat_last,1.0406840757628122
7,repeat_last,0.8379860400119289
8,repeat_last,0.873226003716403
9,repeat_last,1.1014417770300713
10,repeat_last,0.9624862982227931
11,repeat_last,0.7288467673278934
12,repeat_last,0.8371352965515297
13,repeat_last,0.8658597574933616
14,repeat_last,0.8690124535296501
15,repeat_last,0.9184018321700942
16,repeat_last,0.7969649621199271
17,repeat_last,0.7188620432676527
18,repeat_last,0.7953928232582391
19,repeat_last,0.8014817275102213
0,win_stay_expertise,0.9701787684031031
1,win_stay_expertise,1.0092480931275443
2,win_stay_expertise,0.9212856125086346
3,win_stay_expertise,0.8346760010319664
4,win_stay_expertise,0.9745230782320773
5,win_stay_expertise,0.6805412369203677
6,win_stay_expertise,1.0380955277090274
7,win_stay_expertise,0.8493526869162205
8,win_stay_expertise,0.928752418699144
9,win_stay_expertise,1.083962283865394
10,win_stay_expertise,0.9565926913207425
11,win_stay_expertise,0.785427594183735
12,win_stay_expertise,0.8509523626990398
13,win_stay_expertise,0.8641530666136279
14,win_stay_expertise,0.8844004468814355
15,win_stay_expertise,1.0508911591282317
16,win_stay_expertise,0.7289261061618886
17,win_stay_expertise,0.7899775218742335
18,win_stay_expertise,0.8404115362092481
19,win_stay_expertise,0.8126943864347228
0,history_frequency,0.940155651558199
1,history_frequency,0.8803061389850373
2,history_frequency,0.9172790894055473
3,history_frequency,0.8140308436344841
4,history_frequency,0.8234189594336282
5,history_frequency,0.6326686676394908
6,history_frequency,0.9926299580031048
7,history_frequency,0.7886342932171342
8,history_frequency,0.7863404659202008
9,history_frequency,1.025156881320123
10,history_frequency,0.9037726512486931
11,history_frequency,0.7452482280124356
12,history_frequency,0.8123021798679183
13,history_frequency,0.8254792746997578
14,history_frequency,0.8137671447324981
15,history_frequency,0.8510716805328815
16,history_frequency,0.7439946823551207
17,history_frequency,0.6667553252695838
18,history_frequency,0.8173403892451532
19,history_frequency,0.728811799390428
0,reward_learning,0.8063381536834607
1,reward_learning,0.7147552985036354
2,reward_learning,0.8420733449758174
3,reward_learning,0.71527264938028
4,reward_learning,0.7174341914740949
5,reward_learning,0.5933446417593584
6,reward_learning,0.896030533817376
7,reward_learning,0.680682497208152
8,reward_learning,0.6961749690794883
9,reward_learning,0.953980730592339
10,reward_learning,0.7991364606055202
11,reward_learning,0.6954449425313576
12,reward_learning,0.7020028704154169
13,reward_learning,0.7410338997893573
14,reward_learning,0.7038672426966779
15,reward_learning,0.7654650855820244
16,reward_learning,0.6875383547159605
17,reward_learning,0.5646278419102702
18,reward_learning,0.7495768145932384
19,reward_learning,0.6503492309497383
0,belief_static,0.8108904572355311
1,belief_static,0.6837702671178878
2,belief_static,0.8713893394437797
3,belief_static,0.7339442646260264
4,belief_static,0.7334619311421173
5,belief_static,0.658981003436431
6,belief_static,0.9293221938776339
7,belief_static,0.673665818410148
8,belief_static,0.7024267187620525
9,belief_static,0.966923021188226
10,belief_static,0.835273057832974
11,belief_static,0.7538478426754018
12,belief_static,0.6997794066373498
13,belief_static,0.766305011330406
14,belief_static,0.7187018175572559
15,belief_static,0.8067243034624183
16,belief_static,0.7095926724143706
17,belief_static,0.5589316013245162
18,belief_static,0.7964522154021572
19,belief_static,0.6852184970494744
0,belief_dynamic,0.7996895862901172
1,belief_dynamic,0.7017539339623341
2,belief_dynamic,0.8277905142898672
3,belief_dynamic,0.7133422925704647
4,belief_dynamic,0.7203324889491283
5,belief_dynamic,0.6024138350530095
6,belief_dynamic,0.889545886507531
7,belief_dynamic,0.6703996756149275
8,belief_dynamic,0.6921013766760198
9,belief_dynamic,0.9646105804757132
10,belief_dynamic,0.8065002751108064
11,belief_dynamic,0.7237863156084383
12,belief_dynamic,0.6868659236153224
13,belief_dynamic,0.7383288566151873
14,belief_dynamic,0.7123473935500784
15,belief_dynamic,0.8120405889284386
16,belief_dynamic,0.6984213964493582
17,belief_dynamic,0.5620137219048434
18,belief_dynamic,0.7546047980546952
19,belief_dynamic,0.6586431042559305
0,simple_selected,0.8063381536834607
1,simple_selected,0.7147552985036354
2,simple_selected,0.8420733449758174
3,simple_selected,0.71527264938028
4,simple_selected,0.7174341914740949
5,simple_selected,0.5933446417593584
6,simple_selected,0.896030533817376
7,simple_selected,0.680682497208152
8,simple_selected,0.6961749690794883
9,simple_selected,0.953980730592339
10,simple_selected,0.7991364606055202
11,simple_selected,0.6954449425313576
12,simple_selected,0.7020028704154169
13,simple_selected,0.7410338997893573
14,simple_selected,0.7038672426966779
15,simple_selected,0.7654650855820244
16,simple_selected,0.6875383547159605
17,simple_selected,0.5646278419102702
18,simple_selected,0.7495768145932384
19,simple_selected,0.6503492309497383
0,belief_selected,0.7996895862901172
1,belief_selected,0.7017539339623341
2,belief_selected,0.8277905142898672
3,belief_selected,0.7133422925704647
4,belief_selected,0.7203324889491283
5,belief_selected,0.6024138350530095
6,belief_selected,0.889545886507531
7,belief_selected,0.6703996756149275
8,belief_selected,0.6921013766760198
9,belief_selected,0.9646105804757132
10,belief_selected,0.8065002751108064
11,belief_selected,0.7237863156084383
12,belief_selected,0.6868659236153224
13,belief_selected,0.7383288566151873
14,belief_selected,0.7123473935500784
15,belief_selected,0.8120405889284386
16,belief_selected,0.6984213964493582
17,belief_selected,0.5620137219048434
18,belief_selected,0.7546047980546952
19,belief_selected,0.6586431042559305
