family,frame,bin,n_rows,mean_predicted,observed_frequency
simple_selected,fairness,0,2258,0.055871834204280685,0.04561558901682905
simple_selected,fairness,1,716,0.13100454051827545,0.17458100558659218
simple_selected,fairness,2,120,0.24469325118218552,0.275
simple_selected,fairness,3,81,0.35052037237319056,0.35802469135802467
simple_selected,fairness,4,77,0.45227198203136604,0.4025974025974026
simple_selected,fairness,5,75,0.5473484479513973,0.5333333333333333
simple_selected,fairness,6,50,0.6524219751816327,0.6
simple_selected,fairness,7,33,0.7490914861006925,0.8484848484848485
simple_selected,fairness,8,10,0.8245179913539747,0.9
simple_selected,risk,0,668,0.06347330922579715,0.05239520958083832
simple_selected,risk,1,852,0.14459609890992195,0.13497652582159625
simple_selected,risk,2,516,0.24351747930513704,0.34108527131782945
simple_selected,risk,3,216,0.3455260743529016,0.39351851851851855
simple_selected,risk,4,181,0.4530485275758593,0.44751381215469616
simple_selected,risk,5,203,0.5523351235121431,0.4630541871921182
simple_selected,risk,6,203,0.6532500238749899,0.541871921182266
simple_selected,risk,7,252,0.7497288531235147,0.6309523809523809
simple_selected,risk,8,241,0.852190629260683,0.8008298755186722
simple_selected,risk,9,88,0.9252923330579935,0.8522727272727273
simple_selected,expertise,0,244,0.06898734484511358,0.10655737704918032
simple_selected,expertise,1,442,0.15002101028105147,0.19683257918552036
simple_selected,expertise,2,391,0.2465740628480971,0.3069053708439898
simple_selected,expertise,3,244,0.34521556558690725,0.430327868852459
simple_selected,expertise,4,199,0.4456179487660495,0.44221105527638194
simple_selected,expertise,5,190,0.5593895598692088,0.4473684210526316
simple_selected,expertise,6,335,0.6587631055576362,0.5880597014925373
simple_selected,expertise,7,423,0.7533585018241508,0.7304964539007093
simple_selected,expertise,8,632,0.8497039945851749,0.8734177215189873
simple_selected,expertise,9,320,0.929226168425364,0.9375
belief_selected,fairness,0,2082,0.047345005774208145,0.04707012487992315
belief_selected,fairness,1,772,0.13813105551913082,0.12564766839378239
belief_selected,fairness,2,229,0.24330117124853867,0.22707423580786026
belief_selected,fairness,3,93,0.33907375302609327,0.5161290322580645
belief_selected,fairness,4,53,0.45468383744566027,0.33962264150943394
belief_selected,fairness,5,52,0.5511362435370415,0.5
belief_selected,fairness,6,59,0.6555818945872951,0.5084745762711864
belief_selected,fairness,7,80,0.7515786078645658,0.7375
belief_selected,risk,0,774,0.056988847266824905,0.05813953488372093
belief_selected,risk,1,749,0.14448713861461443,0.16955941255006676
belief_selected,risk,2,476,0.24801961723066074,0.29411764705882354
belief_selected,risk,3,258,0.34610159721578626,0.3798449612403101
belief_selected,risk,4,258,0.4463387764088011,0.4418604651162791
belief_selected,risk,5,191,0.5428634604101517,0.5026178010471204
belief_selected,risk,6,173,0.6522370759694255,0.6011560693641619
belief_selected,risk,7,163,0.7590443742093798,0.6073619631901841
belief_selected,risk,8,266,0.8553766896509836,0.7443609022556391
belief_selected,risk,9,112,0.9141056810222562,0.9107142857142857
belief_selected,expertise,0,228,0.07588643080531676,0.11842105263157894
belief_selected,expertise,1,424,0.14976737350623415,0.24764150943396226
belief_selected,expertise,2,424,0.24470943077673493,0.2806603773584906
belief_selected,expertise,3,229,0.34386055352096,0.3930131004366812
belief_selected,expertise,4,179,0.45465940459024135,0.41899441340782123
belief_selected,expertise,5,314,0.5501852349411825,0.4267515923566879
belief_selected,expertise,6,374,0.6442345823756954,0.6256684491978609
belief_selected,expertise,7,305,0.7451731336162527,0.7704918032786885
belief_selected,expertise,8,444,0.8530029761770095,0.8716216216216216
belief_selected,expertise,9,499,0.9350319812341713,0.9278557114228457
