subset,family,n_rows,n_invalid,n_episodes,log_loss_mean,log_loss_sd,log_loss_median,log_loss_min,log_loss_max,log_loss_n_groups,log_loss_iqr_outliers,log_loss_ci_lo,log_loss_ci_hi,brier_mean,brier_sd,brier_median,brier_min,brier_max,brier_n_groups,brier_iqr_outliers,brier_ci_lo,brier_ci_hi,accuracy_mean,accuracy_sd,accuracy_median,accuracy_min,accuracy_max,accuracy_n_groups,accuracy_iqr_outliers,accuracy_ci_lo,accuracy_ci_hi
own_history,uniform,3420,420,180,1.0986122886681102,2.278129578503827e-16,1.09861228866811,1.09861228866811,1.09861228866811,20,0,1.0986122886681102,1.0986122886681102,0.6666666666666666,1.1390647892519134e-16,0.6666666666666667,0.6666666666666667,0.6666666666666667,20,0,0.6666666666666666,0.6666666666666666,0.33333333333333326,5.695323946259567e-17,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,0,0.33333333333333326,0.33333333333333326
own_history,expertise,3420,420,180,2.3103872584482774,0.5122690182774869,2.402441168754459,1.2188908933892735,3.388733064892112,20,0,2.087923641875007,2.525179715829366,0.9011789473684214,0.20092147797987844,0.9372842105263159,0.4730736842105262,1.3241263157894736,20,0,0.813924561403509,0.9854245614035089,0.5403508771929825,0.10251095815299918,0.5219298245614035,0.32456140350877194,0.7587719298245614,20,0,0.49736842105263157,0.5848684210526315
own_history,marginal,3420,420,180,0.9661766555529476,0.10387742963193859,0.9835637784453137,0.7688666801613228,1.1528512456099118,20,0,0.9219203144905102,1.010247825039948,0.5838909588566248,0.06265996028229169,0.5974450570352388,0.4537778339359314,0.6822634316646834,20,0,0.5569932355842595,0.6102054874448399,0.5403508771929825,0.10251095815299918,0.5219298245614035,0.32456140350877194,0.7587719298245614,20,0,0.49736842105263157,0.5848684210526315
own_history,repeat_last,3420,420,180,0.8726816590311106,0.11127422702160705,0.8674361055115059,0.6438177139577452,1.1014417770300713,20,0,0.8252324085331271,0.9198813995025701,0.5165892006653413,0.07048374916506088,0.5184640939523223,0.3693141823555456,0.6494879590315017,20,0,0.48645973803731446,0.5465739481479088,0.6236842105263157,0.060916815427067804,0.611842105263158,0.5219298245614035,0.7456140350877193,20,0,0.5986842105263157,0.6502192982456141
own_history,win_stay_expertise,3420,420,180,0.8927521289460193,0.10909340987903247,0.8742767567475317,0.6805412369203677,1.083962283865394,20,0,0.846889764489823,0.9401172122018783,0.5328591431500145,0.0728043300676613,0.529484483224723,0.388764457474321,0.6665769751558337,20,0,0.5020077589702424,0.5643530251078326,0.6173245614035088,0.08783320167152321,0.6096491228070176,0.4780701754385965,0.7675438596491228,20,0,0.579813596491228,0.6552686403508772
own_history,history_frequency,3420,420,180,0.825458215223571,0.09930588566602587,0.8156856164398186,0.6326686676394908,1.025156881320123,20,0,0.7841225459093559,0.8683861307099459,0.4830003014916304,0.0689174742545086,0.48367320518196755,0.35356488521748647,0.6143502791127331,20,0,0.4539221971263409,0.5129200824745841,0.6526315789473685,0.06626635413320305,0.6710526315789473,0.5219298245614035,0.7675438596491228,20,0,0.6236787280701753,0.6804824561403509
own_history,reward_learning,3420,420,180,0.7337564877131781,0.0927350730277808,0.7150139739419576,0.5646278419102702,0.953980730592339,20,3,0.6954641239787933,0.7743810202325944,0.4263721280324682,0.06232341048289755,0.41147747130338,0.3023677719073027,0.5582927163713554,20,3,0.399760078950024,0.4535699752001919,0.6855263157894737,0.05663627050262792,0.6995614035087718,0.5789473684210527,0.7982456140350878,20,1,0.6605263157894736,0.7100877192982455
own_history,belief_static,3420,420,180,0.7547800720463079,0.09658815419804659,0.7337030978840718,0.5589316013245162,0.966923021188226,20,0,0.7130679386361165,0.7973635144108504,0.4355955540208255,0.06461784427929991,0.4321671257388605,0.2954542549748204,0.5631959479688959,20,0,0.40783465428520815,0.4636085903323337,0.6798245614035088,0.06298259760218887,0.6864035087719298,0.5307017543859649,0.8070175438596491,20,1,0.6526315789473683,0.707236842105263
own_history,belief_dynamic,3420,420,180,0.7367766272241105,0.09353034734026068,0.7168373907597965,0.5620137219048434,0.9646105804757132,20,0,0.6974773971643532,0.7776531482391174,0.42822326876020356,0.06248097024090339,0.42277506015718497,0.30182341791338785,0.5644067102931771,20,0,0.40097102245564176,0.4551953812296584,0.6739035087719298,0.06173690980262496,0.6842105263157894,0.5263157894736842,0.7850877192982455,20,2,0.6460526315789474,0.6991228070175439
own_history,simple_selected,3420,420,180,0.7337564877131781,0.0927350730277808,0.7150139739419576,0.5646278419102702,0.953980730592339,20,3,0.6954641239787933,0.7743810202325944,0.4263721280324682,0.06232341048289755,0.41147747130338,0.3023677719073027,0.5582927163713554,20,3,0.399760078950024,0.4535699752001919,0.6855263157894737,0.05663627050262792,0.6995614035087718,0.5789473684210527,0.7982456140350878,20,1,0.6605263157894736,0.7100877192982455
