condition,n_rows,n_invalid,n_groups,n_episodes,choice_share_fairness,choice_share_risk,choice_share_expertise
full_history,1200,148,20,60,0.13083333333333333,0.3308333333333333,0.5383333333333333
no_history,1200,0,20,60,0.0175,0.1825,0.8
random_target,1200,165,20,60,0.135,0.3425,0.5225
shuffled_history,1200,148,20,60,0.13666666666666666,0.33916666666666667,0.5241666666666667
swap,2400,272,20,120,0.11291666666666667,0.31375,0.5733333333333334
