subset,family,n_rows,n_invalid,n_episodes,log_loss_mean,log_loss_sd,log_loss_median,log_loss_min,log_loss_max,log_loss_n_groups,log_loss_iqr_outliers,log_loss_ci_lo,log_loss_ci_hi,brier_mean,brier_sd,brier_median,brier_min,brier_max,brier_n_groups,brier_iqr_outliers,brier_ci_lo,brier_ci_hi,accuracy_mean,accuracy_sd,accuracy_median,accuracy_min,accuracy_max,accuracy_n_groups,accuracy_iqr_outliers,accuracy_ci_lo,accuracy_ci_hi
own_history,uniform,3420,0,180,1.0986122886681102,2.278129578503827e-16,1.09861228866811,1.09861228866811,1.09861228866811,20,0,1.0986122886681102,1.0986122886681102,0.6666666666666666,1.1390647892519134e-16,0.6666666666666667,0.6666666666666667,0.6666666666666667,20,0,0.6666666666666666,0.6666666666666666,0.33333333333333326,5.695323946259567e-17,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,0,0.33333333333333326,0.33333333333333326
own_history,expertise,3420,0,180,0.33341994663457947,0.4324521778278833,0.14492860648382785,0.013423020332140656,1.4380668703087522,20,2,0.17013384382956792,0.5317742057467078,0.12577543859649123,0.1696158222040462,0.051845614035087716,0.00026666666666666603,0.5590385964912281,20,2,0.061731578947368436,0.20357368421052632,0.9359649122807016,0.08653868479798277,0.9736842105263157,0.7149122807017543,1.0,20,2,0.8962719298245613,0.9686403508771928
own_history,marginal,3420,0,180,0.2533474121254346,0.24393182092895094,0.1520138034341737,0.05867234838516064,0.8962211420253069,20,2,0.16252494650946867,0.36695784708474,0.1219997438644351,0.1520370777416639,0.05692296237203065,0.005792539149928397,0.5149910557041837,20,2,0.06457257940012723,0.1918783341063502,0.9359649122807016,0.08653868479798277,0.9736842105263157,0.7149122807017543,1.0,20,2,0.8962719298245613,0.9686403508771928
own_history,repeat_last,3420,0,180,0.21484216056398905,0.19623617077662003,0.15095224900621163,0.04716661974250533,0.782570612130113,20,1,0.14020484116017487,0.3056449035326671,0.10868138517190495,0.12523556187617413,0.06692412441537847,0.0037023521947993077,0.45442467305719614,20,2,0.06114428436945761,0.16548760300775547,0.9243421052631579,0.08441220991199148,0.9473684210526315,0.7149122807017543,1.0,20,2,0.8857401315789473,0.957236842105263
own_history,win_stay_expertise,3420,0,180,0.23650832982061668,0.2270248365398945,0.14111197685520085,0.04716661974250533,0.8260903677615323,20,2,0.14965264255414334,0.3400824737894104,0.11619627603137513,0.13940080504598823,0.05679628362941063,0.0037023521947993077,0.4689402204140878,20,1,0.062853539773088,0.1794306656475229,0.9293859649122806,0.08778736970965563,0.9692982456140351,0.7149122807017543,1.0,20,1,0.8892543859649121,0.9633771929824559
own_history,history_frequency,3420,0,180,0.19685331515166554,0.19718626512886106,0.12989778324808599,0.02529194242278557,0.8273849106039233,20,1,0.12258216060378985,0.2880183989643155,0.09658792935193601,0.11701262963538302,0.05373252897274766,0.00109394930820518,0.46359166086146775,20,1,0.05252585103090413,0.15103958608868326,0.9421052631578947,0.0741406301136292,0.9736842105263157,0.7236842105263157,1.0,20,1,0.9083333333333332,0.9699561403508771
own_history,reward_learning,3420,0,180,0.21549558691652573,0.22357912991800089,0.129473687977761,0.030729087905942594,0.8543131529965476,20,2,0.13184825855487778,0.31920359290177147,0.11176532735381442,0.13544267731060367,0.0582126609686269,0.0016695575270980977,0.4651769866771909,20,2,0.06060318353810384,0.17385474695230274,0.932017543859649,0.08777122193618882,0.9714912280701753,0.7149122807017543,1.0,20,2,0.8921052631578947,0.9655701754385964
own_history,belief_static,3420,0,180,0.2150577399861795,0.20682703266919802,0.13605483514142738,0.03646297223048356,0.8223996645130887,20,2,0.1375607863643682,0.31034778903986737,0.10960781882347648,0.12503430575612692,0.06168186409436863,0.002848766287739237,0.44654923655095835,20,1,0.06183989990652388,0.1663145755330303,0.9344298245614034,0.07914557810294331,0.9671052631578947,0.7236842105263157,1.0,20,1,0.8984649122807017,0.9651315789473683
own_history,belief_dynamic,3420,0,180,0.2118494434842763,0.21209950148338938,0.1283308769483228,0.033911140407702045,0.8246193485288973,20,2,0.1324862787986574,0.3101822550495286,0.1087553091498755,0.12931889880782826,0.05761514983298789,0.002265536303527443,0.4502710474717222,20,2,0.059687937974320995,0.16777149818314707,0.9348684210526313,0.0846565380760262,0.9714912280701754,0.7236842105263157,1.0,20,0,0.8967105263157894,0.9673245614035085
own_history,simple_selected,3420,0,180,0.21271399239760394,0.22986307095994724,0.12989778324808599,0.030729087905942594,0.8543131529965476,20,2,0.12674416822990492,0.31831968233809965,0.10528984769411243,0.13593383254246252,0.05373252897274766,0.0016695575270980977,0.4651769866771909,20,2,0.0544895279682109,0.16834763599967445,0.9368421052631577,0.08629264604266046,0.9736842105263157,0.7149122807017543,1.0,20,2,0.8969298245614035,0.9690844298245613
