condition,n_rows,n_invalid,n_groups,n_episodes,choice_share_fairness,choice_share_risk,choice_share_expertise
elicited_full_history,1200,0,20,60,0.0,0.058333333333333334,0.9416666666666667
elicited_swap,2400,0,20,120,0.0,0.06833333333333333,0.9316666666666666
