condition,round,mean_words,sd_words,n
full_history,1,38.5,15.768207369145156,12
full_history,2,44.0,15.063501947060347,12
full_history,3,45.5,16.35125794437958,12
full_history,4,53.5,18.476028695681233,12
full_history,5,59.666666666666664,15.882141676815008,12
full_history,6,57.166666666666664,10.52126274251193,12
full_history,7,63.166666666666664,8.830045128406589,12
full_history,8,61.666666666666664,7.819943423805263,12
no_history,1,33.833333333333336,19.80740602232744,12
no_history,2,43.75,13.844099497948244,12
no_history,3,39.083333333333336,13.92485242835683,12
no_history,4,47.833333333333336,7.802486006317979,12
no_history,5,48.25,7.967262561712945,12
no_history,6,34.916666666666664,16.29533303703483,12
no_history,7,41.166666666666664,17.836802268106105,12
no_history,8,27.083333333333332,17.552302792891116,12
