condition,switch_after_A,switch_after_B,n_after_A,n_after_B,lose_shift_minus_win_shift
full_history,0.4482758620689655,0.43636363636363634,29,55,-0.011912225705329182
no_history,0.4827586206896552,0.4727272727272727,29,55,-0.010031347962382475
