condition,switch_rate,n,repeat_rate
full_history,0.5119047619047619,84,0.48809523809523814
no_history,0.14285714285714285,84,0.8571428571428572
random_target,0.6309523809523809,84,0.36904761904761907
shuffled_history,0.5595238095238095,84,0.44047619047619047
swap,0.49074074074074076,216,0.5092592592592593
