condition,match_rate,match_lo,match_hi,n,n_clusters,success_rate,success_lo,success_hi
full_history,0.40625,0.29140625000000003,0.5520833333333334,96,12,0.5520833333333334,0.4375,0.6666666666666666
no_history,0.3125,0.0625,0.5833333333333334,96,12,0.5625,0.40625,0.7085937500000001
random_target,0.3333333333333333,0.22916666666666666,0.4169270833333334,96,12,0.4895833333333333,0.37421875000000004,0.5835937500000001
shuffled_history,0.2708333333333333,0.1875,0.3541666666666667,96,12,0.4583333333333333,0.35390625000000003,0.5625
swap,0.42083333333333334,0.345625,0.5041666666666667,240,24,0.5875,0.525,0.65
