family,frame,bin,n_rows,mean_predicted,observed_frequency
simple_selected,fairness,0,2903,0.042781732444242444,0.02445745780227351
simple_selected,fairness,1,308,0.12947974611062626,0.18181818181818182
simple_selected,fairness,2,61,0.25026420569156577,0.39344262295081966
simple_selected,fairness,3,39,0.3519341315031294,0.358974358974359
simple_selected,fairness,4,39,0.4500520283711582,0.5384615384615384
simple_selected,fairness,5,39,0.5468482355808588,0.6410256410256411
simple_selected,fairness,6,23,0.643241859818995,0.9130434782608695
simple_selected,fairness,7,8,0.730026403012602,1.0
simple_selected,risk,0,1400,0.05700329853966142,0.02642857142857143
simple_selected,risk,1,893,0.144420396099157,0.1265397536394177
simple_selected,risk,2,336,0.24186673676541948,0.24404761904761904
simple_selected,risk,3,155,0.3466071676889736,0.38064516129032255
simple_selected,risk,4,91,0.4544342227472177,0.3626373626373626
simple_selected,risk,5,93,0.5535846850671851,0.44086021505376344
simple_selected,risk,6,130,0.6533730388588141,0.5769230769230769
simple_selected,risk,7,143,0.7513301079337795,0.7132867132867133
simple_selected,risk,8,134,0.8473288364605467,0.8880597014925373
simple_selected,risk,9,45,0.9282933363539629,1.0
simple_selected,expertise,0,99,0.06803254436149707,0.010101010101010102
simple_selected,expertise,1,220,0.15139945570881314,0.1590909090909091
simple_selected,expertise,2,207,0.2500389904743703,0.3285024154589372
simple_selected,expertise,3,151,0.34547187053220746,0.3443708609271523
simple_selected,expertise,4,131,0.44587876250058095,0.45038167938931295
simple_selected,expertise,5,127,0.546279825633807,0.5433070866141733
simple_selected,expertise,6,217,0.6542442827020185,0.6221198156682027
simple_selected,expertise,7,471,0.758904888691655,0.7600849256900213
simple_selected,expertise,8,874,0.8556109135194778,0.9038901601830663
simple_selected,expertise,9,923,0.9362415864906,0.9826652221018418
belief_selected,fairness,0,2808,0.04198576481508316,0.026353276353276354
belief_selected,fairness,1,393,0.13632833151738058,0.13994910941475827
belief_selected,fairness,2,71,0.24174973426871826,0.30985915492957744
belief_selected,fairness,3,31,0.33671165924172763,0.3548387096774194
belief_selected,fairness,4,36,0.4527614316843586,0.4444444444444444
belief_selected,fairness,5,46,0.5560027222159231,0.7391304347826086
belief_selected,fairness,6,35,0.6482757789257474,0.8
belief_selected,risk,0,1269,0.04780950607524592,0.02364066193853428
belief_selected,risk,1,949,0.14707812503881665,0.10010537407797682
belief_selected,risk,2,442,0.2345617136658067,0.2895927601809955
belief_selected,risk,3,169,0.3473297952520122,0.3668639053254438
belief_selected,risk,4,118,0.44776373453754087,0.423728813559322
belief_selected,risk,5,83,0.5481942773133065,0.6385542168674698
belief_selected,risk,6,92,0.6517460978691388,0.5760869565217391
belief_selected,risk,7,136,0.7515839712157292,0.6544117647058824
belief_selected,risk,8,162,0.8461974277312982,0.9012345679012346
belief_selected,expertise,0,6,0.09331018399390066,0.0
belief_selected,expertise,1,212,0.1465307076236534,0.15566037735849056
belief_selected,expertise,2,194,0.2481526271515632,0.28350515463917525
belief_selected,expertise,3,216,0.34630873482399804,0.35648148148148145
belief_selected,expertise,4,155,0.44308376184835707,0.4064516129032258
belief_selected,expertise,5,103,0.557867095787276,0.4174757281553398
belief_selected,expertise,6,357,0.6646975171910193,0.6246498599439776
belief_selected,expertise,7,649,0.75031112299372,0.802773497688752
belief_selected,expertise,8,581,0.8518495805050194,0.9122203098106713
belief_selected,expertise,9,947,0.9464205380562658,0.9809926082365364
