subset,family,n_rows,n_invalid,n_episodes,log_loss_mean,log_loss_sd,log_loss_median,log_loss_min,log_loss_max,log_loss_n_groups,log_loss_iqr_outliers,log_loss_ci_lo,log_loss_ci_hi,brier_mean,brier_sd,brier_median,brier_min,brier_max,brier_n_groups,brier_iqr_outliers,brier_ci_lo,brier_ci_hi,accuracy_mean,accuracy_sd,accuracy_median,accuracy_min,accuracy_max,accuracy_n_groups,accuracy_iqr_outliers,accuracy_ci_lo,accuracy_ci_hi
own_history,uniform,3420,71,180,1.0986122886681102,2.278129578503827e-16,1.09861228866811,1.09861228866811,1.09861228866811,20,0,1.0986122886681102,1.0986122886681102,0.6666666666666666,1.1390647892519134e-16,0.6666666666666667,0.6666666666666667,0.6666666666666667,20,0,0.6666666666666666,0.6666666666666666,0.33333333333333326,5.695323946259567e-17,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,0,0.33333333333333326,0.33333333333333326
own_history,expertise,3420,71,180,1.484093825461843,0.6255625852369172,1.525737261076544,0.49561016955499376,2.7092875364417286,20,0,1.2188908933892735,1.7624473161495806,0.5770912280701755,0.2453573312267571,0.5934245614035087,0.18938947368421058,1.0576350877192984,20,0,0.4730736842105264,0.6862666666666668,0.7057017543859648,0.12518231185038622,0.6973684210526315,0.4605263157894737,0.9035087719298245,20,0,0.65,0.7587719298245614
own_history,marginal,3420,71,180,0.7904248098386054,0.20089875138649663,0.7542372240624606,0.5189530347762177,1.1550506819894633,20,0,0.7039199078721936,0.8773875323424041,0.45527040255499945,0.1316042814294642,0.44782087026420514,0.2637426990215588,0.6917631625702565,20,0,0.39881141958348915,0.5136265409355851,0.7057017543859648,0.12518231185038622,0.6973684210526315,0.4605263157894737,0.9035087719298245,20,0,0.65,0.7587719298245614
own_history,repeat_last,3420,71,180,0.5966543241957148,0.14352186964226402,0.5787425764828618,0.4039644577721768,0.8075776862705013,20,0,0.5349247291586101,0.6576955538154091,0.32599476571052016,0.08755599842089754,0.3212927705902665,0.1982082867344062,0.4651748169701818,20,0,0.28854186795590386,0.3635641301335574,0.7929824561403509,0.06157803978464796,0.8092105263157894,0.6666666666666666,0.8771929824561403,20,0,0.7660087719298245,0.8192982456140351
own_history,win_stay_expertise,3420,71,180,0.6576798941776232,0.1944108941118638,0.6071908529816916,0.38659542587847756,1.0169894066571599,20,0,0.5742847231184696,0.7413969120724533,0.3642221811257697,0.12365572275200629,0.3459736370220291,0.18227361215090476,0.6326326624359578,20,0,0.3116324504162682,0.41838383233887827,0.7837719298245613,0.07880745784524212,0.7982456140350878,0.6184210526315789,0.9035087719298245,20,0,0.7491173245614035,0.8171052631578946
own_history,history_frequency,3420,71,180,0.5612751231367371,0.1223806130614539,0.5693297801306609,0.40172486271265967,0.7530265958351563,20,0,0.5082526241061096,0.6135044985313212,0.30014579740217967,0.07724473644620014,0.3015154657222865,0.19532349872094346,0.42378374898789756,20,0,0.2669020057775135,0.3334439882204396,0.8077850877192982,0.05813295413418245,0.8201754385964912,0.7039473684210527,0.894736842105263,20,0,0.7821628289473683,0.8325685307017543
own_history,reward_learning,3420,71,180,0.4972749508249711,0.1198896822735337,0.47399798028367857,0.35045569548912003,0.7139289383184624,20,0,0.4468439155755283,0.5492458242486578,0.27345573829951586,0.07590478688995429,0.25242378689270145,0.17983119690653357,0.4119299545926086,20,0,0.24180719329442865,0.30675340311004273,0.8089912280701753,0.06273253384291234,0.8245614035087718,0.6798245614035088,0.8859649122807018,20,0,0.7809210526315788,0.8353124999999999
own_history,belief_static,3420,71,180,0.5161027313548845,0.11430541813954602,0.4858056285533811,0.36537813308457234,0.7349129334763363,20,0,0.4677770632033813,0.5660272577389635,0.2860240118009896,0.07004314601508084,0.26522361001811967,0.19204124787943577,0.39671093758045206,20,0,0.2564786187694317,0.31648337815270416,0.8010964912280703,0.05963477843383919,0.8070175438596491,0.7105263157894737,0.8771929824561403,20,0,0.775657894736842,0.8263157894736842
own_history,belief_dynamic,3420,71,180,0.5127870822812918,0.12428073319744319,0.5003983181209266,0.3594578059866628,0.7226916042184848,20,0,0.4603412477032056,0.566464088217553,0.2856069564022063,0.0798849927681444,0.27361721320378857,0.18857271951225127,0.4259188777596592,20,0,0.25190063448354705,0.3207195185591949,0.7989035087719298,0.07085421665289414,0.8157894736842105,0.6447368421052632,0.8771929824561404,20,0,0.7677576754385964,0.8282894736842105
own_history,simple_selected,3420,71,180,0.4972749508249711,0.1198896822735337,0.47399798028367857,0.35045569548912003,0.7139289383184624,20,0,0.4468439155755283,0.5492458242486578,0.27345573829951586,0.07590478688995429,0.25242378689270145,0.17983119690653357,0.4119299545926086,20,0,0.24180719329442865,0.30675340311004273,0.8089912280701753,0.06273253384291234,0.8245614035087718,0.6798245614035088,0.8859649122807018,20,0,0.7809210526315788,0.8353124999999999
