condition,match_rate,match_lo,match_hi,n,n_clusters,success_rate,success_lo,success_hi
full_history,0.10416666666666667,0.020833333333333332,0.1875,48,6,0.5,0.375,0.625
no_history,0.10416666666666667,0.041666666666666664,0.16666666666666666,48,6,0.4791666666666667,0.2708333333333333,0.6875
random_target,0.10416666666666667,0.020833333333333332,0.1875,48,6,0.5,0.375,0.6041666666666666
shuffled_history,0.0625,0.0,0.14583333333333334,48,6,0.5,0.3958333333333333,0.625
swap,0.075,0.03333333333333333,0.11666666666666667,120,12,0.45,0.35,0.55
