condition,round,mean_words,sd_words,n
full_history,1,44.166666666666664,9.579491983746667,6
full_history,2,48.666666666666664,5.501514942874068,6
full_history,3,54.666666666666664,6.918574034197124,6
full_history,4,58.333333333333336,4.885352256149668,6
full_history,5,60.0,10.411532067856298,6
full_history,6,63.833333333333336,6.242328625334193,6
full_history,7,68.66666666666667,5.465040408511784,6
full_history,8,63.333333333333336,9.521904571390463,6
no_history,1,49.0,5.830951894845302,6
no_history,2,39.5,17.432727841620196,6
no_history,3,37.333333333333336,17.996295915178397,6
no_history,4,48.833333333333336,9.786044485218053,6
no_history,5,49.666666666666664,6.121002096606948,6
no_history,6,26.833333333333332,18.170488894541794,6
no_history,7,49.5,3.6742346141747673,6
no_history,8,34.166666666666664,12.41638702145945,6
random_target,1,42.666666666666664,6.713171133426189,6
random_target,2,45.0,10.099504938362077,6
random_target,3,53.5,8.689073598491383,6
random_target,4,59.0,6.164414002968976,6
random_target,5,57.333333333333336,7.916228058025278,6
random_target,6,59.166666666666664,7.026141662866374,6
random_target,7,62.666666666666664,5.819507424745383,6
random_target,8,63.333333333333336,5.316640543300504,6
shuffled_history,1,41.833333333333336,4.875106836436168,6
shuffled_history,2,52.166666666666664,7.756717518813398,6
shuffled_history,3,51.833333333333336,5.344779384283945,6
shuffled_history,4,58.5,5.009990019950139,6
shuffled_history,5,58.333333333333336,2.4221202832779944,6
shuffled_history,6,64.83333333333333,7.67897562612792,6
shuffled_history,7,65.0,4.6475800154489,6
shuffled_history,8,63.5,5.540758070878027,6
swap,1,48.25,10.05552765217402,12
swap,2,52.75,7.287910287842213,12
swap,3,51.583333333333336,5.791189755816917,12
swap,4,60.166666666666664,5.982297116315671,12
swap,5,59.333333333333336,6.035249988545829,12
swap,6,66.5,4.582575694955835,12
swap,7,64.75,9.304202374098587,12
swap,8,69.16666666666667,5.78137028949387,12
swap,9,68.66666666666667,6.826863160050934,12
swap,10,69.91666666666667,5.468227788919839,12
