condition,switch_after_A,switch_after_B,n_after_A,n_after_B,lose_shift_minus_win_shift
full_history,0.5454545454545454,0.5,22,20,-0.045454545454545414
no_history,0.5238095238095238,0.47619047619047616,21,21,-0.04761904761904767
random_target,0.5454545454545454,0.45,22,20,-0.0954545454545454
shuffled_history,0.5263157894736842,0.43478260869565216,19,23,-0.09153318077803202
swap,0.5576923076923077,0.5535714285714286,52,56,-0.004120879120879106
