condition,switch_rate,n,repeat_rate
full_history,0.5238095238095238,42,0.47619047619047616
no_history,0.5,42,0.5
random_target,0.5,42,0.5
shuffled_history,0.47619047619047616,42,0.5238095238095238
swap,0.5555555555555556,108,0.4444444444444444
